timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/09/19 18:15:13.447, 1, 109.26 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:14.447, 0, 83.25 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:14.447, 1, 109.43 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:15.448, 0, 89.46 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:15.448, 1, 91.41 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:16.448, 0, 92.86 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:16.448, 1, 91.41 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:17.555, 0, 86.50 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:17.574, 1, 73.06 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:18.575, 0, 75.44 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:18.575, 1, 88.87 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:19.576, 0, 95.20 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:19.576, 1, 99.24 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:20.576, 0, 96.08 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:20.576, 1, 90.79 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:21.576, 0, 95.70 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:21.577, 1, 80.89 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:22.577, 0, 93.04 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:22.577, 1, 92.92 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:23.578, 0, 81.28 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:23.578, 1, 104.16 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:24.579, 0, 73.04 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:24.579, 1, 91.79 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:25.579, 0, 94.88 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:25.670, 1, 79.83 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:26.672, 0, 95.28 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:26.683, 1, 90.47 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:27.683, 0, 95.13 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:27.683, 1, 102.62 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:28.684, 0, 95.54 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:28.684, 1, 104.77 W, 0 %, 0 %, 15 MiB
