ts,t_sec,gpu,sm_pct,mem_pct,mem_used_MiB,mem_total_MiB,mem_free_MiB,vram_used_pct,proc_mem_MiB,sm_clock_MHz,power_W
2025-09-09T11:10:46.216,0.003,1,0,0,1040.0,49140.0,48100.0,2.1,416.0,1800,76.8
2025-09-09T11:10:46.318,0.104,1,0,0,1052.0,49140.0,48088.0,2.1,428.0,1800,76.8
2025-09-09T11:10:46.419,0.205,1,0,0,1094.0,49140.0,48046.0,2.2,470.0,1800,83.5
2025-09-09T11:10:46.519,0.306,1,0,0,1094.0,49140.0,48046.0,2.2,470.0,1800,83.5
2025-09-09T11:10:46.893,0.680,1,0,0,1094.0,49140.0,48046.0,2.2,470.0,1800,83.5
2025-09-09T11:10:46.995,0.781,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1800,92.3
2025-09-09T11:10:47.096,0.882,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1800,92.3
2025-09-09T11:10:47.197,0.984,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1800,92.3
2025-09-09T11:10:47.298,1.085,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1800,92.3
2025-09-09T11:10:47.399,1.186,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,117.6
2025-09-09T11:10:47.501,1.287,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,117.6
2025-09-09T11:10:47.602,1.388,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,117.6
2025-09-09T11:10:47.703,1.489,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,117.6
2025-09-09T11:10:47.804,1.590,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,117.6
2025-09-09T11:10:47.905,1.692,1,22,7,1094.0,49140.0,48046.0,2.2,470.0,1920,130.1
